task,feature_set,n_features,mean_r2,sd_r2,mean_rmse,sd_rmse,mean_mae,sd_mae,pooled_r2,pooled_rmse,pooled_mae,alpha_edge_hits,median_best_alpha,total_fit_minutes,rank_mean_r2
EPC,EPC_controls_extensive,10,0.5829125126038983,0.06511389705411035,5.163770411389093,0.3518271447210052,3.6388680026482776,0.15463526417196866,0.5879670375718591,5.17187110560549,3.6380384077073713,0,1.0,0.23005133072535197,1
EPC,All_representations_plus_SV_metadata,1732,0.37538040734057476,0.06258194912571535,6.3294432015057,0.2537508510795604,4.57198066223342,0.11617314425593048,0.38177826410943116,6.335105439037097,4.573154196176443,0,10000.0,16.4694606423378,2
EPC,Sky_and_space,960,0.372802865575868,0.06725741212807804,6.341255729880402,0.27609118066735305,4.587739446994387,0.14130235997409196,0.3792078002349346,6.348261938650601,4.58942742055231,0,1000.0,6.42523801724116,3
EPC,All_representations_without_SV_metadata,1728,0.37220205398654704,0.06278628909314754,6.345533017320326,0.25373268141900795,4.585857517619483,0.11449936075428177,0.3786094069389351,6.351320806339542,4.586918470286376,0,10000.0,12.692613955338796,4
EPC,Street_and_sky,1280,0.3362234117774416,0.06197995072166769,6.526628363353834,0.256838322921184,4.716654612808634,0.10086179111886168,0.34272917208814235,6.5321160367040285,4.717958707377611,0,10000.0,9.051996811230977,5
EPC,DINOv2,768,0.33404977797026564,0.06826546890349058,6.535830605567076,0.28293596502210144,4.712590982166374,0.1216191205334881,0.34077205413178624,6.541833963128187,4.713700785404614,0,1000.0,4.684343798955282,6
EPC,Location_and_EO,448,0.24875252177464877,0.07911962872428578,6.939376163358628,0.26978967015160493,5.177270831030201,0.18055800698164468,0.25679328708080007,6.946027913495746,5.179139740275182,0,100.0,2.472104291121165,7
EPC,StreetView_CLIP_plus_metadata,516,0.22559181425497532,0.03869348863384316,7.055469440563584,0.16052667168977952,5.136007174708505,0.08913529892721667,0.23234713177837385,7.059340836653286,5.138193352893014,0,1000.0,4.113353391488393,8
EPC,TESSERA,128,0.2138763730022843,0.07830251639066069,7.099779180295043,0.2544821995391944,5.332356390521911,0.12537490705439933,0.22254287335324907,7.104277823616125,5.332399340576903,0,1000.0,0.7516616106033325,9
EPC,StreetView_CLIP_only,512,0.2075512926914192,0.025104079908284872,7.139016806247374,0.1450417030048117,5.182785264560082,0.08202522411656259,0.2143791648455443,7.141479744508222,5.184365241574516,0,1000.0,3.334388283888499,10
EPC,EPC_controls_sparse,8,0.16062546263759625,0.0323776747963175,7.347293970165653,0.18533224224384698,5.432995272398539,0.12429008416381501,0.16846774384393426,7.347189861193816,5.432178165470031,1,1.0,0.15883593161900839,11
EPC,AlphaEarth,64,0.129640857174407,0.058190897233428955,7.476262225289989,0.1426187917548016,5.562177877603274,0.09998731131233957,0.1387761934395635,7.4772125387994,5.563105918206546,0,10.0,0.43903884490331013,12
EPC,StreetView_metadata_only,4,0.02133384620709008,0.021123370467829056,7.934200327383621,0.14650390734987048,5.958230101196498,0.13313877796579682,0.029690357489807306,7.936643737595313,5.96107638498687,2,10.0,0.061291364828745525,13
EPC,SatCLIP,256,0.01508620159740012,0.029536249282684803,7.958961033552643,0.15983391954912463,5.99405945899769,0.13958841750971096,0.024517615489138667,7.957770828755334,5.9916187035921284,0,10000.0,1.1593660990397134,14
