task,model_id,baseline_id,control_family,analysis_role,added_feature_set,mean_delta_r2,sd_delta_r2,r2_wins_out_of_5,mean_delta_rmse,sd_delta_rmse,rmse_wins_out_of_5,mean_delta_mae,sd_delta_mae,mae_wins_out_of_5,pooled_delta_r2,pooled_delta_rmse,pooled_delta_mae
EPC,EPC_controls_sparse__plus__construction_age,EPC_controls_sparse,EPC_control_ablation,control_ablation,construction_age,0.42227700103621035,0.04284190746718159,5,-2.183665561305882,0.3383541127519307,5,-1.7886552831320437,0.21738796369319024,5,0.41953594374940295,-2.175548777722037,-1.7886245650520434
EPC,EPC_controls_sparse__plus__floor_area,EPC_controls_sparse,EPC_control_ablation,control_ablation,floor_area,0.0028046410143588384,0.004338971000360352,3,-0.011992108247553545,0.01858251353926879,3,-0.0197448015302518,0.009970224673484879,5,0.0025944446616636974,-0.011470853502501654,-0.01973282611307603
EPC,EPC_controls_extensive,EPC_controls_sparse,EPC_extensive,control_ablation_and_extensive_baseline,floor_area_plus_construction_age,0.42228704996630206,0.042602593549347166,5,-2.183523558776559,0.3362014492952047,5,-1.794127269750262,0.21513984483832488,5,0.4194992937279248,-2.175318755588326,-1.7941397577626597
EPC,EPC_controls_extensive__plus__TESSERA,EPC_controls_extensive,EPC_extensive,single_representation,TESSERA,0.005846216519374581,0.0033092334688476634,5,-0.037329777808033884,0.023207655365811812,5,-0.019970355730799038,0.023375222973453333,4,0.0057688126020951636,-0.03633292267952637,-0.019912075882885905
EPC,EPC_controls_extensive__plus__Location_and_EO,EPC_controls_extensive,EPC_extensive,theory_fusion,Location_and_EO,0.0036755267496205724,0.005363032624100518,3,-0.023592234928743138,0.03320741687056298,3,-0.009650896257333574,0.031433296204937,3,0.0036224207670554343,-0.02278464820074344,-0.00922025285184258
EPC,EPC_controls_extensive__plus__StreetView_metadata_only,EPC_controls_extensive,EPC_extensive,coverage_metadata,StreetView_metadata_only,0.0008569168913432734,0.0006731736573141824,5,-0.005449299688392628,0.004473116577018051,5,-0.0004319496717354987,0.006057700349026605,3,0.0008651583235451676,-0.005432621922869529,-0.00038806631475196696
EPC,EPC_controls_extensive__plus__SatCLIP,EPC_controls_extensive,EPC_extensive,single_representation,SatCLIP,-7.014029397355293e-05,0.000732945627817702,3,0.0002098906990145366,0.00452290199982498,3,0.002141716412235528,0.005993060993485805,2,-7.895165031612805e-05,0.0004954800194356679,0.0022467070991947224
EPC,EPC_controls_extensive__plus__AlphaEarth,EPC_controls_extensive,EPC_extensive,single_representation,AlphaEarth,-0.0006091633029367216,0.00206804943123417,3,0.003751057110305922,0.012098605240121922,3,0.004349140505030835,0.007192759906414673,2,-0.0005917573320297631,0.003712560465681136,0.004444555158826802
EPC,EPC_controls_extensive__plus__DINOv2,EPC_controls_extensive,EPC_extensive,single_representation,DINOv2,-0.0008219371055456226,0.0047171827733052596,3,0.004430982729607713,0.0276301276226619,3,0.021316427338640854,0.026219181970424877,1,-0.0008549097341479239,0.0053626678497291635,0.021346882617316876
EPC,EPC_controls_extensive__plus__Sky_and_space,EPC_controls_extensive,EPC_extensive,theory_fusion,Sky_and_space,-0.002344292335941378,0.0029147700325013208,1,0.013899406584880402,0.01907274148961375,1,0.03282985574415971,0.025535770564669116,1,-0.002319351406760095,0.014535916205004717,0.03292406502689049
