task,model_id,analysis_role,base_feature_set,added_feature_set,n_features,validation_scheme_random,mean_r2_random,sd_r2_random,mean_rmse_random,sd_rmse_random,mean_mae_random,sd_mae_random,pooled_r2_random,pooled_rmse_random,pooled_mae_random,alpha_edge_hits_random,median_best_alpha_random,total_fit_minutes_random,validation_scheme_spatial,mean_r2_spatial,sd_r2_spatial,mean_rmse_spatial,sd_rmse_spatial,mean_mae_spatial,sd_mae_spatial,pooled_r2_spatial,pooled_rmse_spatial,pooled_mae_spatial,alpha_edge_hits_spatial,median_best_alpha_spatial,total_fit_minutes_spatial,random_minus_spatial_mean_r2,random_minus_spatial_pooled_r2,spatial_minus_random_mean_rmse,spatial_minus_random_pooled_rmse,spatial_minus_random_mean_mae,spatial_minus_random_pooled_mae
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,EPC_controls_extensive,All_representations_plus_SV_metadata,1742,random_nested_5fold,0.5816830538015803,0.029725946274139162,5.208320215108914,0.20448888877898044,3.7004234883056952,0.07680605232360434,0.5816236056574229,5.211530679907719,3.7004234883056952,0,100.0,16.247843758265176,borough_grouped_nested_5fold,0.5714148951780444,0.06580503095346957,5.235147980247227,0.3517105712406173,3.7239695899640166,0.18304109309928215,0.5764392650205972,5.243720790660078,3.7232218584397603,0,100.0,20.066876566410066,0.010268158623535806,0.005184340636825713,0.026827765138312643,0.032190110752358336,0.023546101658321383,0.02279837013406505
EPC,EPC_controls_extensive,privileged_control_baseline,EPC_controls_extensive,,10,random_nested_5fold,0.5914721759924408,0.024820000199631112,5.147702479297518,0.18052041180699568,3.6208710885008153,0.06759116941915484,0.5914073884776823,5.150234063674095,3.620871088500815,0,10.0,0.22060689926147461,borough_grouped_nested_5fold,0.5829125126038983,0.06511389705411035,5.163770411389093,0.3518271447210052,3.6388680026482776,0.15463526417196866,0.5879670375718591,5.17187110560549,3.6380384077073713,0,1.0,0.23313031593958536,0.008559663388542527,0.003440350905823175,0.016067932091575088,0.021637041931395373,0.017996914147462295,0.017167319206556453
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,EPC_controls_extensive,TESSERA,138,random_nested_5fold,0.597715731901309,0.02879651788112511,5.107555840286805,0.20460732518693553,3.595559824078214,0.08384807016245142,0.597635160618778,5.110833394629879,3.5955598240782134,0,10.0,0.9958921551704407,borough_grouped_nested_5fold,0.5887587291232729,0.06591552868744344,5.12644063358106,0.35846548956323104,3.6188976469174783,0.1759588604232172,0.5937358501739542,5.135538182925964,3.6181263318244854,0,10.0,1.258342723051707,0.008957002778036127,0.0038993104448237226,0.018884793294255076,0.024704788296084246,0.023337822839264444,0.022566507746272002
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,EPC_controls_sparse,DINOv2,776,random_nested_5fold,0.3776567416729205,0.02948298142992977,6.354391673188118,0.1840046137616947,4.549271641755606,0.06997474903505618,0.37759113821007473,6.356522610247758,4.549271641755607,0,1000.0,5.998434356848398,borough_grouped_nested_5fold,0.3638793909042634,0.06625067937799761,6.38775637489166,0.2860113328196341,4.574751521888933,0.12455301339805738,0.3702415122752548,6.393942511152142,4.575971891187356,0,1000.0,7.384912582238515,0.013777350768657104,0.0073496259348199144,0.03336470170354211,0.03741990090438385,0.025479880133326915,0.02670024943174898
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,EPC_controls_sparse,Sky_and_space,968,random_nested_5fold,0.40672579544477816,0.03438559110663851,6.20363525947095,0.21017761813207994,4.459456971873747,0.09043679204652323,0.40662710612423325,6.206482912043031,4.459456971873747,0,1000.0,8.336519575119018,borough_grouped_nested_5fold,0.39543322288803273,0.06363005747937185,6.226265556995983,0.267678130118574,4.483924414988807,0.14115706949517712,0.4015591506076829,6.232931122731805,4.48570034896343,0,1000.0,10.08024578889211,0.011292572556745428,0.005067955516550371,0.022630297525033427,0.026448210688774232,0.024467443115059773,0.02624337708968305
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,EPC_controls_sparse,All_representations_plus_SV_metadata,1740,random_nested_5fold,0.4087111046130859,0.032630131575480996,6.193383085568394,0.20079152649118107,4.454470902354666,0.08557451424407947,0.40863244847630265,6.195986429479427,4.454470902354667,0,1000.0,15.765019992987314,borough_grouped_nested_5fold,0.3969527507922804,0.06206019395677805,6.219135326319217,0.2662074103307427,4.482162812072978,0.14888120904550564,0.40297526226290037,6.22555215266708,4.483797702679834,0,1000.0,18.7464794476827,0.011758353820805534,0.0056571862134022766,0.025752240750822608,0.029565723187653603,0.027691909718312147,0.029326800325167213
EPC,EPC_controls_sparse,sparse_control_baseline,EPC_controls_sparse,,8,random_nested_5fold,0.18256811922841645,0.021561982786057372,7.283440971503711,0.13919592756663285,5.379219139650993,0.073405124439137,0.1825961777241334,7.284504979089508,5.379219139650992,0,1.0,0.13933691183725994,borough_grouped_nested_5fold,0.16062546263759625,0.0323776747963175,7.347293970165653,0.18533224224384698,5.432995272398539,0.12429008416381501,0.16846774384393426,7.347189861193816,5.432178165470031,1,1.0,0.19658599297205606,0.021942656590820203,0.014128433880199132,0.06385299866194227,0.06268488210430778,0.053776132747546335,0.052959025819038885
PTAL,PTAL_spatial_baseline__plus__DINOv2,aerial_single,PTAL_spatial_baseline,DINOv2,774,random_nested_5fold,0.641692583482827,0.027411722164196843,6.405584287313881,0.250625535191662,4.120465273757873,0.11230084902458029,0.643278531525803,6.40956179745977,4.120491949991253,0,1000.0,1.7526628057161966,borough_grouped_nested_5fold,0.608302628188709,0.06992484519151919,6.5595022102300735,0.49450824671194576,4.257430835422795,0.1890248814284059,0.6243357346689218,6.577542427992744,4.257303188094884,0,1000.0,2.276852071285248,0.033389955294118034,0.018942796856881272,0.15391792291619222,0.1679806305329734,0.13696556166492257,0.13681123810363083
PTAL,PTAL_spatial_baseline__plus__Street_and_sky,compact_fusion,PTAL_spatial_baseline,Street_and_sky,1286,random_nested_5fold,0.7036821840458197,0.021147971783855767,5.829237483583582,0.31412724107002515,3.7825358254100374,0.094224999237734,0.7042602502722647,5.836044114442888,3.782547516074761,0,1000.0,3.684668783346812,borough_grouped_nested_5fold,0.6773925079382256,0.07218245095169502,5.930346934148283,0.4093223870915557,3.8628553805360637,0.13983369045275745,0.6930523278373772,5.945602732896323,3.8631425840836457,0,1000.0,4.607326233386994,0.02628967610759414,0.01120792243488744,0.10110945056470122,0.10955861845343495,0.08031955512602629,0.08059506800888494
PTAL,PTAL_spatial_baseline,control_baseline,PTAL_spatial_baseline,,6,random_nested_5fold,0.430132842970062,0.0280862118465572,8.092554685414592,0.5310808074630197,5.126181524799646,0.2223022161276674,0.4293941122789441,8.106471119839682,5.126193919726752,0,0.1,0.034815776348114016,borough_grouped_nested_5fold,0.4014706393500459,0.0758046350541014,8.186692028135592,1.19082901672517,5.3431915115024875,0.8156948716743857,0.4074719960103722,8.260724832600172,5.3461178419723066,0,10.0,0.08440783818562826,0.02866220362001609,0.02192211626857188,0.09413734272099994,0.1542537127604895,0.21700998670284122,0.21992392224555424
