task,new_model_id,comparator_role,source_notebook,comparator_id,mean_delta_r2,sd_delta_r2,r2_wins,mean_delta_rmse,sd_delta_rmse,rmse_wins,mean_delta_mae,sd_delta_mae,mae_wins,strict_all_metric_win
EPC,EPC_controls_extensive__plus__DINOv2_plus_SatCLIP,DINOv2_only,07,EPC_controls_extensive__plus__DINOv2,-0.0003880369727833455,0.00035444128090518766,0,0.0024758738698041683,0.0023273313921244308,0,0.0031526369237395713,0.004030500864668609,2,False
EPC,EPC_controls_extensive__plus__DINOv2_plus_SatCLIP,SatCLIP_only,07,EPC_controls_extensive__plus__SatCLIP,-0.001139833784355415,0.004449842643310693,3,0.006696965900397344,0.026268926942116952,3,0.022327347850144896,0.02571211098648496,1,False
EPC,EPC_controls_extensive__plus__DINOv2_plus_SatCLIP,full_fusion,07,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,0.010287643347524977,0.0025414890297425045,5,-0.06447071225872118,0.01843110841486241,5,-0.060632523053358686,0.010067819967775922,5,True
EPC,EPC_controls_sparse__plus__DINOv2_plus_SatCLIP,DINOv2_only,07,EPC_controls_sparse__plus__DINOv2,0.00027388189831967225,0.00016938301058785693,5,-0.0013774257136034862,0.0008322263357836124,5,-0.0015375049731833456,0.0013464785307973702,5,True
EPC,EPC_controls_sparse__plus__DINOv2_plus_SatCLIP,SatCLIP_only,07,EPC_controls_sparse__plus__SatCLIP,0.20029376196742113,0.046519859217795806,5,-0.9468204767073832,0.26205285914347715,5,-0.8484008952567358,0.18070131320617608,5,True
EPC,EPC_controls_sparse__plus__DINOv2_plus_SatCLIP,full_fusion,07,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,-0.032799477989697234,0.011177696919382888,0,0.1672436228588408,0.053388684220094615,0,0.09105120484277104,0.032102610552279504,0,False
EPC,EPC_representation_only__DINOv2_plus_SatCLIP,DINOv2_only,06,DINOv2,0.0001626591292313906,0.0011170890752553193,2,-0.0010114545094340953,0.005537936261091559,2,-0.006103025474881107,0.007369758912183434,4,True
EPC,EPC_representation_only__DINOv2_plus_SatCLIP,SatCLIP_only,06,SatCLIP,0.3191262355020969,0.07136543821319684,5,-1.4241418824949998,0.36030172154174095,5,-1.287571502306198,0.2514843516875627,5,True
EPC,EPC_representation_only__DINOv2_plus_SatCLIP,full_fusion,06,All_representations_plus_SV_metadata,-0.04116797024107775,0.013932498619914298,0,0.20537594955194277,0.06380169654000259,0,0.13450729445807177,0.030182742202583636,0,False
PTAL,PTAL_representation_only__DINOv2_plus_SatCLIP,DINOv2_only,06,DINOv2,0.006383338506003799,0.015215919648372012,4,-0.03913061409968357,0.10061171108709217,4,0.02522873211595389,0.1628067497696668,3,False
PTAL,PTAL_representation_only__DINOv2_plus_SatCLIP,SatCLIP_only,06,SatCLIP,0.42055449056666977,0.137881351916322,5,-2.976445800234173,1.1580996027261767,5,-2.0716139209452424,0.8676148863170741,5,True
PTAL,PTAL_representation_only__DINOv2_plus_SatCLIP,full_fusion,06,All_representations_plus_SV_metadata,-0.09210952528483493,0.03054099481868499,0,0.8528577646904315,0.35610011855787616,0,0.5739285802986022,0.13071880088858348,0,False
PTAL,PTAL_spatial_baseline__plus__DINOv2_plus_SatCLIP,DINOv2_only,07,PTAL_spatial_baseline__plus__DINOv2,-0.002340261508025465,0.002892697521486611,0,0.02043940981041903,0.024611401731924987,0,0.03871208657615277,0.051934303034386224,0,False
PTAL,PTAL_spatial_baseline__plus__DINOv2_plus_SatCLIP,SatCLIP_only,07,PTAL_spatial_baseline__plus__SatCLIP,0.21068679559656464,0.07729510471779971,5,-1.6384700253017974,0.707751824144327,5,-1.0473335562128074,0.4082599600123718,5,True
PTAL,PTAL_spatial_baseline__plus__DINOv2_plus_SatCLIP,full_fusion,07,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,-0.08715891303711339,0.031178403125575786,0,0.8117095468634343,0.35811312248157295,0,0.5505544883448997,0.13412084367716962,0,False
