task,feature_set,native_source,native_model_id,native_dimensions,pca_dimensions,mean_delta_r2,sd_delta_r2,r2_wins,mean_delta_rmse,rmse_wins,mean_delta_mae,mae_wins
EPC,All_representations_without_SV_metadata,06,All_representations_without_SV_metadata,1728,64,-0.06920633106153977,0.00796869875060289,0,0.34340161407104386,0,0.31778081386999446,0
EPC,AlphaEarth,06,AlphaEarth,64,64,0.00015209477288747887,0.00032197630612466194,3,-0.0006831267715458722,3,-0.000984781820823777,3
EPC,DINOv2,06,DINOv2,768,64,-0.04777006496671421,0.008938849835872257,0,0.23089407449635146,0,0.2219811435470433,0
EPC,DINOv2_plus_SatCLIP,09,EPC_representation_only__DINOv2_plus_SatCLIP,1024,64,-0.05145164937783053,0.008658894901043383,0,0.2487865450776839,0,0.2400531894798119,0
EPC,SatCLIP,06,SatCLIP,256,64,-5.3211443200914393e-08,9.616661942884641e-08,2,2.2197382509858699e-07,2,5.396351063780003e-08,1
EPC,StreetView_CLIP_only,06,StreetView_CLIP_only,512,64,-0.004313538833928199,0.003120246528210633,0,0.019290427390001242,0,0.02649526969171152,0
EPC,TESSERA,06,TESSERA,128,64,-0.005130584625646839,0.0017598979190770008,0,0.023308773206272983,0,0.024549694528392507,0
PTAL,All_representations_without_SV_metadata,06,All_representations_without_SV_metadata,1728,64,-0.037127634598299084,0.016082502215599377,0,0.36445398108203425,0,0.181064111050176,0
PTAL,AlphaEarth,06,AlphaEarth,64,64,-6.444318081293421e-05,0.0004973488029857572,1,0.00040517753106019685,1,-0.0013982737986312443,4
PTAL,DINOv2,06,DINOv2,768,64,-0.06606261327287428,0.02341556626687861,0,0.5488047495807005,0,0.33393591057422733,0
PTAL,DINOv2_plus_SatCLIP,09,PTAL_representation_only__DINOv2_plus_SatCLIP,1024,64,-0.07189435247302065,0.016313347050615632,0,0.5836298683827723,0,0.3205636722207597,0
PTAL,SatCLIP,06,SatCLIP,256,64,-1.5121564171216573e-06,3.2315633244366654e-06,1,1.0362958473209006e-05,1,-1.0160196369568552e-06,2
PTAL,StreetView_CLIP_only,06,StreetView_CLIP_only,512,64,-0.050918536387221845,0.01972163815930156,0,0.44014811104140233,0,0.4947557406809381,0
PTAL,TESSERA,06,TESSERA,128,64,-0.015139691522265908,0.012754926847108385,1,0.1099979986805936,1,0.04129145561063883,2
