task,model_id,analysis_role,validation_scheme,n,knn_k,moran_i,randomisation_expected_i,permutations,permutation_p_two_sided,residual_mean,residual_sd
EPC,EPC_controls_extensive,privileged_control_baseline,borough_grouped_nested_5fold,20000,8,0.04925331417272503,-5.000250012500625e-05,199,0.005,0.0164496857395213,5.171974246524857
EPC,EPC_controls_extensive,privileged_control_baseline,geometric_region_nested_5fold,20000,8,0.050296833998285266,-5.000250012500625e-05,199,0.005,-0.033615732735354106,5.172785224093374
EPC,EPC_controls_extensive,privileged_control_baseline,random_nested_5fold,20000,8,0.04559842035948541,-5.000250012500625e-05,199,0.005,-0.0005770179634782664,5.150362792029677
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,borough_grouped_nested_5fold,20000,8,0.03662163786350411,-5.000250012500625e-05,199,0.005,-0.013512046285560148,5.243834479177254
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,geometric_region_nested_5fold,20000,8,0.042030278710197815,-5.000250012500625e-05,199,0.005,-0.07610376451814721,5.274917675546616
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,random_nested_5fold,20000,8,0.01238207138003797,-5.000250012500625e-05,199,0.005,0.006950301654770971,5.211656338345399
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,borough_grouped_nested_5fold,20000,8,0.04368197107042516,-5.000250012500625e-05,199,0.005,0.004922264370557028,5.135664217211984
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,geometric_region_nested_5fold,20000,8,0.046243598459362364,-5.000250012500625e-05,199,0.005,-0.061149893916188476,5.151985207870677
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,random_nested_5fold,20000,8,0.03682249969444445,-5.000250012500625e-05,199,0.005,0.0009354784724683867,5.110961084639996
EPC,EPC_controls_sparse,sparse_control_baseline,borough_grouped_nested_5fold,20000,8,0.1666349504217333,-5.000250012500625e-05,199,0.005,0.06479768285807933,7.347087797330349
EPC,EPC_controls_sparse,sparse_control_baseline,geometric_region_nested_5fold,20000,8,0.18721303185331406,-5.000250012500625e-05,199,0.005,-0.1966609911597484,7.540514220001245
EPC,EPC_controls_sparse,sparse_control_baseline,random_nested_5fold,20000,8,0.1553093457201887,-5.000250012500625e-05,199,0.005,6.005939483418388e-05,7.2846870982958984
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,borough_grouped_nested_5fold,20000,8,0.03794047499394127,-5.000250012500625e-05,199,0.005,-0.027113733689112827,6.22564875222996
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,geometric_region_nested_5fold,20000,8,0.04012718833125897,-5.000250012500625e-05,199,0.005,-0.052362784108771494,6.273381670871254
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,random_nested_5fold,20000,8,0.020412673803184987,-5.000250012500625e-05,199,0.005,0.006159599737861597,6.196138273158474
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,borough_grouped_nested_5fold,20000,8,0.04580337790304638,-5.000250012500625e-05,199,0.005,-0.04482805673469354,6.3939452146556865
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,geometric_region_nested_5fold,20000,8,0.05406954570331896,-5.000250012500625e-05,199,0.005,-0.11337121579994341,6.45839263144078
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,random_nested_5fold,20000,8,0.032383234785793816,-5.000250012500625e-05,199,0.005,0.0034336517139514624,6.356680601858219
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,borough_grouped_nested_5fold,20000,8,0.04115325171669024,-5.000250012500625e-05,199,0.005,-0.036991934216619934,6.232977176096954
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,geometric_region_nested_5fold,20000,8,0.04733520162899515,-5.000250012500625e-05,199,0.005,-0.11264581745663736,6.289942106517752
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,random_nested_5fold,20000,8,0.027165180363065755,-5.000250012500625e-05,199,0.005,0.003902117072837652,6.206636853241527
PTAL,PTAL_spatial_baseline,control_baseline,borough_grouped_nested_5fold,6597,8,0.5946073913521601,-0.00015160703456640388,199,0.005,-0.32640435721062067,8.25489941809812
PTAL,PTAL_spatial_baseline,control_baseline,geometric_region_nested_5fold,6597,8,0.7087626713219728,-0.00015160703456640388,199,0.005,1.4698613333887693,9.829515688238395
PTAL,PTAL_spatial_baseline,control_baseline,random_nested_5fold,6597,8,0.5798975200135256,-0.00015160703456640388,199,0.005,0.0004247922617836967,8.107085584443746
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,full_fusion,borough_grouped_nested_5fold,6597,8,0.3431275909243206,-0.00015160703456640388,199,0.005,-0.04541419238682353,5.780549083785479
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,full_fusion,geometric_region_nested_5fold,6597,8,0.49604287443978795,-0.00015160703456640388,199,0.005,0.5359946784840396,6.746736557352506
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,full_fusion,random_nested_5fold,6597,8,0.3081538004607821,-0.00015160703456640388,199,0.005,0.009879138162684225,5.630742834514535
PTAL,PTAL_spatial_baseline__plus__DINOv2,aerial_single,borough_grouped_nested_5fold,6597,8,0.3870000150806784,-0.00015160703456640388,199,0.005,-0.06573148329229145,6.5777125389923405
PTAL,PTAL_spatial_baseline__plus__DINOv2,aerial_single,geometric_region_nested_5fold,6597,8,0.49556632508068654,-0.00015160703456640388,199,0.005,0.42244361085097076,7.34592741014644
PTAL,PTAL_spatial_baseline__plus__DINOv2,aerial_single,random_nested_5fold,6597,8,0.35974905479418195,-0.00015160703456640388,199,0.005,0.0027668757489669803,6.410047049127513
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_plus_metadata,streetview_content_plus_coverage,borough_grouped_nested_5fold,6597,8,0.36053013596128547,-0.00015160703456640388,199,0.005,0.005937754671070552,6.08225580167279
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_plus_metadata,streetview_content_plus_coverage,geometric_region_nested_5fold,6597,8,0.47524588957186875,-0.00015160703456640388,199,0.005,0.42205887063894926,6.75558848670821
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_plus_metadata,streetview_content_plus_coverage,random_nested_5fold,6597,8,0.33961763850788484,-0.00015160703456640388,199,0.005,-0.021875298726748788,5.9971613917964985
PTAL,PTAL_spatial_baseline__plus__Street_and_sky,compact_fusion,borough_grouped_nested_5fold,6597,8,0.33832732927000086,-0.00015160703456640388,199,0.005,-0.031792318034538684,5.94596840644651
PTAL,PTAL_spatial_baseline__plus__Street_and_sky,compact_fusion,geometric_region_nested_5fold,6597,8,0.4899737030203971,-0.00015160703456640388,199,0.005,0.46476244027949276,6.933942661157073
PTAL,PTAL_spatial_baseline__plus__Street_and_sky,compact_fusion,random_nested_5fold,6597,8,0.309577448485626,-0.00015160703456640388,199,0.005,0.0008800496634558234,5.836486423988763
