task,model_id,analysis_role,base_feature_set,added_feature_set,n_features,validation_scheme,mean_r2,sd_r2,mean_rmse,sd_rmse,mean_mae,sd_mae,pooled_r2,pooled_rmse,pooled_mae,alpha_edge_hits,median_best_alpha,total_fit_minutes
EPC,EPC_controls_extensive,privileged_control_baseline,EPC_controls_extensive,,10,borough_grouped_nested_5fold,0.5829125126038983,0.06511389705411035,5.163770411389093,0.3518271447210052,3.6388680026482776,0.15463526417196866,0.5879670375718591,5.17187110560549,3.6380384077073713,0,1.0,0.23313031593958536
EPC,EPC_controls_extensive,privileged_control_baseline,EPC_controls_extensive,,10,geometric_region_nested_5fold,0.6015580436085897,0.05748074159161939,5.045707526523196,0.4198544474647416,3.5802846669181347,0.19642041847163866,0.5878245746172557,5.1727651316039225,3.62975475447016,0,0.0,0.3526097536087036
EPC,EPC_controls_extensive,privileged_control_baseline,EPC_controls_extensive,,10,random_nested_5fold,0.5914721759924408,0.024820000199631112,5.147702479297518,0.18052041180699568,3.6208710885008153,0.06759116941915484,0.5914073884776823,5.150234063674095,3.620871088500815,0,10.0,0.22060689926147461
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,EPC_controls_extensive,All_representations_plus_SV_metadata,1742,borough_grouped_nested_5fold,0.5714148951780444,0.06580503095346957,5.235147980247227,0.3517105712406173,3.7239695899640166,0.18304109309928215,0.5764392650205972,5.243720790660078,3.7232218584397603,0,100.0,20.066876566410066
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,EPC_controls_extensive,All_representations_plus_SV_metadata,1742,geometric_region_nested_5fold,0.5850004524971588,0.06478076910493899,5.144739523343577,0.4272700673994819,3.700038944371619,0.24331374174577144,0.5713166394702449,5.275334778849942,3.763400000940793,0,100.0,16.6833597779274
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,full_fusion_redundancy_check,EPC_controls_extensive,All_representations_plus_SV_metadata,1742,random_nested_5fold,0.5816830538015803,0.029725946274139162,5.208320215108914,0.20448888877898044,3.7004234883056952,0.07680605232360434,0.5816236056574229,5.211530679907719,3.7004234883056952,0,100.0,16.247843758265176
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,EPC_controls_extensive,TESSERA,138,borough_grouped_nested_5fold,0.5887587291232729,0.06591552868744344,5.12644063358106,0.35846548956323104,3.6188976469174783,0.1759588604232172,0.5937358501739542,5.135538182925964,3.6181263318244854,0,10.0,1.258342723051707
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,EPC_controls_extensive,TESSERA,138,geometric_region_nested_5fold,0.6041825785879502,0.05748196584523051,5.028156176847278,0.4124105547113775,3.5726648737775806,0.2022702151743666,0.5910923308077485,5.152219302792256,3.6238587371206776,0,0.0,1.6092055479685465
EPC,EPC_controls_extensive__plus__TESSERA,small_positive_representation_check,EPC_controls_extensive,TESSERA,138,random_nested_5fold,0.597715731901309,0.02879651788112511,5.107555840286805,0.20460732518693553,3.595559824078214,0.08384807016245142,0.597635160618778,5.110833394629879,3.5955598240782134,0,10.0,0.9958921551704407
EPC,EPC_controls_sparse,sparse_control_baseline,EPC_controls_sparse,,8,borough_grouped_nested_5fold,0.16062546263759625,0.0323776747963175,7.347293970165653,0.18533224224384698,5.432995272398539,0.12429008416381501,0.16846774384393426,7.347189861193816,5.432178165470031,1,1.0,0.19658599297205606
EPC,EPC_controls_sparse,sparse_control_baseline,EPC_controls_sparse,,8,geometric_region_nested_5fold,0.11764261905496869,0.009398134552664795,7.526340067613565,0.3461320645897147,5.637461616262867,0.22677756360155282,0.12358034935495765,7.54288984937138,5.6261792193982,0,10000.0,0.19068671862284342
EPC,EPC_controls_sparse,sparse_control_baseline,EPC_controls_sparse,,8,random_nested_5fold,0.18256811922841645,0.021561982786057372,7.283440971503711,0.13919592756663285,5.379219139650993,0.073405124439137,0.1825961777241334,7.284504979089508,5.379219139650992,0,1.0,0.13933691183725994
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,EPC_controls_sparse,All_representations_plus_SV_metadata,1740,borough_grouped_nested_5fold,0.3969527507922804,0.06206019395677805,6.219135326319217,0.2662074103307427,4.482162812072978,0.14888120904550564,0.40297526226290037,6.22555215266708,4.483797702679834,0,1000.0,18.7464794476827
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,EPC_controls_sparse,All_representations_plus_SV_metadata,1740,geometric_region_nested_5fold,0.40351150604153396,0.06674778562770421,6.174575650305302,0.3522923565918802,4.464845287380223,0.25171793048231195,0.3937544848110138,6.273443367378366,4.524594160528339,0,10000.0,16.11321977376938
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,full_fusion,EPC_controls_sparse,All_representations_plus_SV_metadata,1740,random_nested_5fold,0.4087111046130859,0.032630131575480996,6.193383085568394,0.20079152649118107,4.454470902354666,0.08557451424407947,0.40863244847630265,6.195986429479427,4.454470902354667,0,1000.0,15.765019992987314
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,EPC_controls_sparse,DINOv2,776,borough_grouped_nested_5fold,0.3638793909042634,0.06625067937799761,6.38775637489166,0.2860113328196341,4.574751521888933,0.12455301339805738,0.3702415122752548,6.393942511152142,4.575971891187356,0,1000.0,7.384912582238515
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,EPC_controls_sparse,DINOv2,776,geometric_region_nested_5fold,0.3687824809894744,0.060558848687604167,6.356679388475429,0.367601264772528,4.579661362967052,0.21532027991597652,0.3573158932721391,6.459226182187106,4.633309122827545,0,1000.0,6.306266967455546
EPC,EPC_controls_sparse__plus__DINOv2,aerial_single,EPC_controls_sparse,DINOv2,776,random_nested_5fold,0.3776567416729205,0.02948298142992977,6.354391673188118,0.1840046137616947,4.549271641755606,0.06997474903505618,0.37759113821007473,6.356522610247758,4.549271641755607,0,1000.0,5.998434356848398
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,EPC_controls_sparse,Sky_and_space,968,borough_grouped_nested_5fold,0.39543322288803273,0.06363005747937185,6.226265556995983,0.267678130118574,4.483924414988807,0.14115706949517712,0.4015591506076829,6.232931122731805,4.48570034896343,0,1000.0,10.08024578889211
EPC,EPC_controls_sparse__plus__Sky_and_space,compact_fusion,EPC_controls_sparse,Sky_and_space,968,geometric_region_nested_5fold,0.39981325788608946,0.060931193092360725,6.195944743552384,0.33700882041209995,4.479007136009203,0.2168329510140454,0.39039652880556797,6.2907934805515815,4.532272323943757,0,1000.0,8.403687755266825
