task,model_id,mean_delta_r2,sd_delta_r2,r2_wins_out_of_5,mean_delta_rmse,rmse_wins_out_of_5,mean_delta_mae,mae_wins_out_of_5,xgboost_pooled_r2,ridge_pooled_r2,pooled_delta_r2,xgboost_pooled_rmse,ridge_pooled_rmse
EPC,EPC_controls_extensive__plus__All_representations_plus_SV_metadata,0.04363850819948859,0.00740960311934983,5,-0.2779046306021497,5,-0.25327013661013503,5,0.6199439764022827,0.5764392650205972,0.043504711381685546,4.967129809058654,5.243720790660078
EPC,EPC_controls_sparse,0.03437110890323622,0.017522507095986364,5,-0.15262218323976437,5,-0.1096742160325725,4,0.2026127576828003,0.16846774384393426,0.034145013838866034,7.194760577875348,7.347189861193816
EPC,EPC_controls_extensive__plus__TESSERA,0.02406610426982403,0.004044152647700254,5,-0.15538746478986684,5,-0.13573943997778165,5,0.6178016662597656,0.5937358501739542,0.024065816085811376,4.981109984762217,5.135538182925964
EPC,EPC_controls_extensive,0.02145982187638733,0.006489184793440823,5,-0.13717685232075122,5,-0.10201259111873666,5,0.6095584630966187,0.5879670375718591,0.021591425524759567,5.034539136809681,5.17187110560549
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,0.011493477711900502,0.004370379217722531,5,-0.05915731894909282,5,-0.09902558596824171,5,0.4142076373100281,0.40297526226290037,0.011232375047127707,6.166710655811573,6.22555215266708
EPC,EPC_controls_sparse__plus__DINOv2,0.003137961676760692,0.0037048931109861395,4,-0.014920724062615775,4,-0.0387752073442547,5,0.3733041286468506,0.3702415122752548,0.003062616371595772,6.378376085496771,6.393942511152142
PTAL,PTAL_spatial_baseline,0.09216539656914352,0.05535840121595393,5,-0.7167657063578154,5,-0.4067209075596166,4,0.5106557607650757,0.4074719960103722,0.10318376475470348,7.507078772029312,8.260724832600172
PTAL,PTAL_spatial_baseline__plus__DINOv2,0.04689576706351879,0.018925851654845015,5,-0.41440160147320954,5,-0.4649587113230642,5,0.6701558828353882,0.6243357346689218,0.0458201481664664,6.16336809895711,6.577542427992744
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_plus_metadata,0.020389294082681576,0.031814179418520536,4,-0.16424812547025933,4,-0.23238157277278812,5,0.6959507465362549,0.6788288635602178,0.017121882976037117,5.917464654685579,6.08179769627022
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,0.016322217939978966,0.03257465568132957,4,-0.14558485629447732,4,-0.3230541585991168,5,0.7245099544525146,0.7098839690340851,0.014625985418429521,5.632700417682564,5.780289354004994
