protocol_id,model_id,baseline_id,added_feature_set,mean_delta_r2,sd_delta_r2,r2_wins_out_of_5,mean_delta_rmse,rmse_wins_out_of_5,mean_delta_mae,mae_wins_out_of_5
n3_main_target,EPC_controls_extensive__plus__TESSERA,EPC_controls_extensive,TESSERA,0.006593944592181189,0.003712875530970321,5,-0.042603727382665824,5,-0.021602148024778157,4
n3_main_target,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,EPC_controls_sparse,All_representations_plus_SV_metadata,0.26310601019883983,0.04626492484698478,5,-1.2320217848655413,5,-1.0010322812735573,5
n3_main_target,EPC_controls_sparse__plus__DINOv2,EPC_controls_sparse,DINOv2,0.2329508304457278,0.044092578107275675,5,-1.0777918938710598,5,-0.9018070540755831,5
record_year_adjusted,EPC_controls_extensive__plus__TESSERA,EPC_controls_extensive,TESSERA,0.006215036635490145,0.0038610647436985003,5,-0.039979339721508286,5,-0.02062388370701429,3
record_year_adjusted,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,EPC_controls_sparse,All_representations_plus_SV_metadata,0.2382605176353934,0.04688204977414651,5,-1.14036245020231,5,-0.9601617690072974,5
record_year_adjusted,EPC_controls_sparse__plus__DINOv2,EPC_controls_sparse,DINOv2,0.2050478547504647,0.04776568218041405,5,-0.9702682170439827,5,-0.8627519980689735,5
uprn_covered_main_target,EPC_controls_extensive__plus__TESSERA,EPC_controls_extensive,TESSERA,0.005840927656475514,0.0033241745465289424,5,-0.037290512910462856,5,-0.01990637695639643,4
uprn_covered_main_target,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,EPC_controls_sparse,All_representations_plus_SV_metadata,0.23628688815734122,0.04687544150978657,5,-1.1279386862052296,5,-0.9506769405925451,5
uprn_covered_main_target,EPC_controls_sparse__plus__DINOv2,EPC_controls_sparse,DINOv2,0.20323098998488326,0.04823851819504591,5,-0.9594233095248812,5,-0.8581905843138402,5
uprn_only_target,EPC_controls_extensive__plus__TESSERA,EPC_controls_extensive,TESSERA,0.005724796946339395,0.0032561698062336876,5,-0.036598551829201756,5,-0.019172180318187772,4
uprn_only_target,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,EPC_controls_sparse,All_representations_plus_SV_metadata,0.23479795869812867,0.04761908036171602,5,-1.1260854138602123,5,-0.945548385498214,5
uprn_only_target,EPC_controls_sparse__plus__DINOv2,EPC_controls_sparse,DINOv2,0.20247322621708408,0.04880180855217943,5,-0.9604593455295929,5,-0.8537687016215587,5
